{'folder': 5, 'file': 378, 'shape': (1024, 768, 3)}
{'folder': 6, 'file': 19, 'shape': (1024, 768, 3)}
{'folder': 6, 'file': 21, 'shape': (1024, 768, 3)}
{'folder': 1, 'file': 258, 'shape': (1024, 767, 3)}
{'folder': 5, 'file': 181, 'shape': (1024, 767, 3)}
{'folder': 3, 'file': 283, 'shape': (1024, 766, 3)}
{'folder': 5, 'file': 160, 'shape': (1024, 766, 3)}
{'folder': 1, 'file': 178, 'shape': (1024, 764, 3)}
{'folder': 3, 'file': 194, 'shape': (1024, 764, 3)}
{'folder': 1, 'file': 208, 'shape': (1024, 763, 3)}
{'folder': 1, 'file': 332, 'shape': (1024, 763, 3)}
{'folder': 1, 'file': 96, 'shape': (1024, 760, 3)}
{'folder': 3, 'file': 211, 'shape': (1024, 760, 3)}
{'folder': 1, 'file': 13, 'shape': (1024, 757, 3)}
{'folder': 5, 'file': 16, 'shape': (1024, 755, 3)}
{'folder': 1, 'file': 231, 'shape': (1024, 751, 3)}
{'folder': 3, 'file': 316, 'shape': (1024, 749, 3)}
{'folder': 1, 'file': 283, 'shape': (1024, 748, 3)}
{'folder': 6, 'file': 29, 'shape': (1024, 744, 3)}
{'folder': 1, 'file': 160, 'shape': (1024, 742, 3)}
{'folder': 6, 'file': 4, 'shape': (1024, 736, 3)}
{'folder': 1, 'file': 67, 'shape': (1024, 732, 3)}
{'folder': 5, 'file': 194, 'shape': (1024, 732, 3)}
{'folder': 1, 'file': 220, 'shape': (1024, 731, 3)}
{'folder': 1, 'file': 340, 'shape': (1024, 731, 3)}
{'folder': 5, 'file': 22, 'shape': (1024, 731, 3)}
{'folder': 6, 'file': 22, 'shape': (1024, 731, 3)}
{'folder': 1, 'file': 25, 'shape': (1024, 730, 3)}
{'folder': 3, 'file': 16, 'shape': (1024, 729, 3)}
{'folder': 1, 'file': 196, 'shape': (1024, 725, 3)}
{'folder': 3, 'file': 20, 'shape': (1024, 724, 3)}
{'folder': 5, 'file': 45, 'shape': (1024, 724, 3)}
{'folder': 1, 'file': 162, 'shape': (1024, 722, 3)}
{'folder': 1, 'file': 351, 'shape': (1024, 718, 3)}
{'folder': 1, 'file': 369, 'shape': (1024, 716, 3)}
{'folder': 1, 'file': 257, 'shape': (1024, 711, 3)}
{'folder': 6, 'file': 5, 'shape': (1024, 709, 3)}
{'folder': 1, 'file': 1, 'shape': (1024, 705, 3)}
{'folder': 1, 'file': 221, 'shape': (1024, 691, 3)}
{'folder': 3, 'file': 351, 'shape': (1024, 691, 3)}
{'folder': 1, 'file': 117, 'shape': (1024, 689, 3)}
{'folder': 1, 'file': 245, 'shape': (1024, 688, 3)}
{'folder': 3, 'file': 307, 'shape': (1024, 687, 3)}
{'folder': 1, 'file': 86, 'shape': (1024, 686, 3)}
{'folder': 5, 'file': 328, 'shape': (1024, 686, 3)}
{'folder': 1, 'file': 5, 'shape': (1024, 685, 3)}
{'folder': 1, 'file': 6, 'shape': (1024, 685, 3)}
{'folder': 1, 'file': 60, 'shape': (1024, 685, 3)}
{'folder': 1, 'file': 111, 'shape': (1024, 685, 3)}
{'folder': 1, 'file': 229, 'shape': (1024, 685, 3)}
{'folder': 1, 'file': 273, 'shape': (1024, 685, 3)}
{'folder': 3, 'file': 262, 'shape': (1024, 685, 3)}
{'folder': 3, 'file': 304, 'shape': (1024, 685, 3)}
{'folder': 5, 'file': 310, 'shape': (1024, 685, 3)}
{'folder': 1, 'file': 326, 'shape': (1024, 684, 3)}
{'folder': 1, 'file': 341, 'shape': (1024, 684, 3)}
